state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
ND,2020-10-22,286,286,286,14.71,14.71,14.71,"1,944","1,944","1,944"
NJ,2020-10-22,908,905,910,4.79,4.52,5.06,"18,951","18,841","19,061"
NV,2020-10-22,487,487,487,6.88,6.88,6.88,"7,252","7,252","7,252"
NY,2020-10-22,"2,163","2,160","2,167",3.94,3.70,4.17,"54,945","54,632","55,258"
PR,2020-10-22,411,411,411,4.63,4.63,4.63,"9,055","9,055","9,055"
RI,2020-10-22,148,148,148,7.61,7.61,7.61,"1,944","1,944","1,944"
AK,2020-10-23,67,67,67,4.65,4.65,4.65,"1,442","1,442","1,442"
AR,2020-10-23,652,650,655,7.84,7.50,8.18,"8,323","8,284","8,362"
CO,2020-10-23,585,561,609,5.87,3.19,8.56,"9,954","9,578","10,330"
FL,2020-10-23,"2,447","2,438","2,457",3.32,3.11,3.52,"74,843","74,544","75,142"
HI,2020-10-23,84,84,84,3.38,-0.22,6.98,"2,484","2,241","2,728"
IA,2020-10-23,564,564,565,7.24,7.24,7.24,"7,889","7,889","7,889"
IL,2020-10-23,"2,698","2,639","2,758",9.04,8.92,9.17,"29,157","29,092","29,221"
KY,2020-10-23,871,871,871,7.36,7.36,7.36,"11,838","11,838","11,838"
MA,2020-10-23,440,440,440,2.64,2.64,2.64,"16,694","16,694","16,694"
ME,2020-10-23,24,23,25,0.85,0.85,0.85,"2,833","2,833","2,833"
MN,2020-10-23,733,731,735,6.40,6.40,6.40,"11,457","11,457","11,457"
MS,2020-10-23,624,623,625,7.93,7.84,8.01,"7,872","7,867","7,877"
MT,2020-10-23,375,374,376,13.41,12.86,13.96,"2,640","2,621","2,659"
ND,2020-10-23,315,315,315,16.14,16.14,16.14,"1,952","1,952","1,952"
NJ,2020-10-23,916,916,916,4.84,4.82,4.87,"18,909","18,897","18,921"
NV,2020-10-23,535,535,535,7.55,7.55,7.55,"7,262","7,262","7,262"
NY,2020-10-23,"2,195","2,186","2,205",4.00,3.73,4.28,"54,823","54,531","55,115"
PR,2020-10-23,393,392,394,4.45,4.45,4.45,"9,015","9,015","9,015"
RI,2020-10-23,156,156,156,8.00,8.00,8.00,"1,949","1,949","1,949"
AK,2020-10-24,66,66,66,4.57,4.57,4.57,"1,443","1,443","1,443"
AR,2020-10-24,673,665,681,8.13,7.12,9.14,"8,273","8,163","8,383"
CO,2020-10-24,600,598,601,6.03,5.23,6.83,"9,949","9,789","10,108"
FL,2020-10-24,"2,485","2,461","2,509",3.35,2.95,3.75,"75,185","74,793","75,577"
HI,2020-10-24,88,85,92,3.59,-0.52,7.70,"2,458","2,210","2,705"
IA,2020-10-24,563,562,564,7.23,7.12,7.34,"7,883","7,874","7,892"
IL,2020-10-24,"2,730","2,667","2,793",9.19,8.84,9.55,"29,153","29,008","29,297"
KY,2020-10-24,854,854,855,7.14,7.14,7.14,"11,962","11,962","11,962"
MA,2020-10-24,431,431,431,2.48,2.48,2.48,"17,376","17,376","17,376"
ME,2020-10-24,24,24,24,0.85,0.76,0.94,"2,824","2,810","2,838"
MN,2020-10-24,752,751,753,6.62,6.48,6.76,"11,355","11,327","11,383"
MS,2020-10-24,627,616,638,7.98,6.57,9.39,"7,859","7,719","7,999"
MT,2020-10-24,358,356,361,13.12,11.72,14.53,"2,601","2,554","2,648"
ND,2020-10-24,280,279,281,14.44,13.70,15.18,"1,939","1,921","1,957"
NJ,2020-10-24,928,927,929,4.94,4.89,4.99,"18,776","18,763","18,789"
NV,2020-10-24,536,536,536,7.56,7.56,7.56,"7,262","7,250","7,274"
NY,2020-10-24,"2,217","2,201","2,233",4.05,3.67,4.42,"54,810","54,488","55,132"
PR,2020-10-24,416,412,421,4.70,4.21,5.19,"9,053","9,051","9,055"
RI,2020-10-24,158,158,158,8.09,8.09,8.09,"1,952","1,952","1,952"
AK,2020-10-25,69,69,69,4.78,4.78,4.78,"1,443","1,443","1,443"
AR,2020-10-25,656,653,659,8.00,7.36,8.63,"8,208","8,124","8,291"
CO,2020-10-25,606,604,607,6.08,5.26,6.91,"9,958","9,794","10,123"
FL,2020-10-25,"2,531","2,520","2,542",3.43,3.22,3.64,"74,799","74,524","75,074"
HI,2020-10-25,80,73,87,3.27,-1.41,7.94,"2,452","2,227","2,678"
IA,2020-10-25,579,578,580,7.44,7.32,7.55,"7,882","7,874","7,889"
IL,2020-10-25,"2,755","2,686","2,823",9.27,8.90,9.65,"29,134","28,958","29,310"
KY,2020-10-25,880,879,881,7.36,7.26,7.46,"11,959","11,945","11,973"
MA,2020-10-25,448,448,448,2.58,2.35,2.81,"17,353","17,230","17,476"
ME,2020-10-25,24,23,24,0.83,0.58,1.09,"2,817","2,803","2,831"
MN,2020-10-25,762,761,764,6.79,6.79,6.79,"11,222","11,222","11,222"
MS,2020-10-25,621,619,622,7.97,7.50,8.44,"7,789","7,728","7,850"
MT,2020-10-25,353,350,355,13.00,11.72,14.28,"2,597","2,554","2,640"
ND,2020-10-25,267,267,267,14.02,13.34,14.69,"1,905","1,888","1,922"
NJ,2020-10-25,994,994,994,5.30,5.27,5.34,"18,742","18,729","18,755"
NV,2020-10-25,520,520,520,7.34,7.34,7.34,"7,262","7,262","7,262"
NY,2020-10-25,"2,232","2,211","2,253",4.08,3.64,4.52,"54,719","54,415","55,023"
PR,2020-10-25,385,385,385,4.45,4.44,4.46,"8,842","8,840","8,844"
RI,2020-10-25,164,164,164,8.49,8.49,8.49,"1,932","1,932","1,932"
AK,2020-10-26,81,81,81,5.61,5.61,5.61,"1,443","1,443","1,443"
AR,2020-10-26,696,690,703,8.43,7.88,8.98,"8,263","8,236","8,290"
CO,2020-10-26,602,596,608,6.07,5.13,7.02,"9,916","9,753","10,079"
FL,2020-10-26,"2,581","2,580","2,582",3.49,3.43,3.54,"75,063","74,960","75,167"
HI,2020-10-26,82,82,82,3.35,0.80,5.89,"2,450","2,278","2,622"
IA,2020-10-26,585,583,587,7.53,7.53,7.53,"7,869","7,869","7,869"
IL,2020-10-26,"2,860","2,795","2,925",9.65,9.48,9.81,"29,071","28,983","29,159"
KY,2020-10-26,926,926,926,7.82,7.82,7.82,"11,834","11,834","11,834"
MA,2020-10-26,461,461,461,2.66,2.66,2.66,"17,340","17,340","17,340"
ME,2020-10-26,35,35,35,1.24,1.24,1.24,"2,827","2,827","2,827"
MN,2020-10-26,794,792,795,7.08,7.08,7.08,"11,212","11,212","11,212"
MS,2020-10-26,608,608,608,7.75,7.67,7.83,"7,845","7,834","7,856"
MT,2020-10-26,382,381,383,13.93,13.93,13.93,"2,599","2,599","2,599"
ND,2020-10-26,293,292,294,15.27,15.27,15.27,"1,919","1,919","1,919"
NJ,2020-10-26,991,991,991,5.27,4.69,5.85,"18,796","18,558","19,034"
NV,2020-10-26,556,556,556,7.81,7.81,7.81,"7,294","7,294","7,294"
NY,2020-10-26,"2,311","2,300","2,322",4.22,3.99,4.45,"54,785","54,610","54,960"
PR,2020-10-26,372,371,373,4.35,4.35,4.35,"8,729","8,729","8,729"
RI,2020-10-26,163,163,163,8.53,8.53,8.53,"1,911","1,911","1,911"
AK,2020-10-27,79,77,81,5.47,2.66,8.29,"1,443","1,366","1,520"
AR,2020-10-27,717,716,718,8.56,8.56,8.56,"8,376","8,376","8,376"
CO,2020-10-27,674,661,688,6.80,5.46,8.13,"9,924","9,757","10,091"
FL,2020-10-27,"2,722","2,703","2,742",3.72,3.38,4.05,"74,295","73,942","74,648"
HI,2020-10-27,82,82,82,3.34,3.34,3.34,"2,456","2,435","2,477"
IA,2020-10-27,620,619,621,7.98,7.98,7.98,"7,867","7,867","7,867"
IL,2020-10-27,"2,955","2,880","3,030",9.89,8.49,11.29,"29,225","28,696","29,754"
KY,2020-10-27,963,957,969,8.14,8.14,8.14,"11,836","11,836","11,836"
MA,2020-10-27,478,478,478,2.75,2.75,2.75,"17,378","17,378","17,378"
ME,2020-10-27,33,32,34,1.17,1.17,1.17,"2,832","2,832","2,832"
MN,2020-10-27,852,850,854,7.51,7.51,7.51,"11,344","11,344","11,344"
MS,2020-10-27,626,615,638,7.96,6.85,9.08,"7,868","7,799","7,936"
MT,2020-10-27,390,390,391,14.44,13.90,14.97,"2,594","2,577","2,611"
ND,2020-10-27,281,281,281,14.32,14.32,14.32,"1,962","1,962","1,962"
NJ,2020-10-27,"1,042","1,041","1,043",5.50,5.40,5.60,"18,955","18,916","18,994"
NV,2020-10-27,558,558,558,7.84,7.84,7.84,"7,270","7,270","7,270"
NY,2020-10-27,"2,427","2,416","2,438",4.39,4.01,4.77,"55,279","54,845","55,713"
PR,2020-10-27,416,404,427,4.96,4.96,4.96,"8,557","8,557","8,557"
RI,2020-10-27,169,169,169,8.67,8.67,8.67,"1,950","1,950","1,950"
AK,2020-10-28,88,88,88,6.05,6.05,6.05,"1,454","1,454","1,454"
AR,2020-10-28,723,717,729,8.63,7.63,9.63,"8,376","8,254","8,498"
CO,2020-10-28,744,738,750,7.46,6.44,8.49,"9,971","9,802","10,140"
FL,2020-10-28,"2,694","2,687","2,701",3.68,3.53,3.82,"74,310","74,116","74,504"
HI,2020-10-28,82,76,88,3.33,0.45,6.20,"2,466","2,431","2,501"
IA,2020-10-28,643,642,644,8.27,8.27,8.27,"7,869","7,869","7,869"
IL,2020-10-28,"3,130","3,059","3,200",10.43,10.20,10.66,"29,157","29,046","29,269"
KY,2020-10-28,994,993,995,8.40,8.40,8.40,"11,837","11,837","11,837"
MA,2020-10-28,465,465,465,2.67,2.67,2.67,"17,388","17,388","17,388"
ME,2020-10-28,36,36,36,1.27,1.06,1.48,"2,833","2,814","2,852"
MN,2020-10-28,892,886,899,7.81,7.81,7.81,"11,433","11,433","11,433"
MS,2020-10-28,651,649,653,8.21,8.02,8.41,"7,928","7,910","7,946"
MT,2020-10-28,391,389,393,14.32,13.76,14.89,"2,604","2,590","2,618"
ND,2020-10-28,290,290,291,14.61,14.61,14.61,"1,988","1,988","1,988"
NJ,2020-10-28,"1,086","1,084","1,088",5.62,5.62,5.62,"19,338","19,338","19,338"
NV,2020-10-28,571,571,571,8.04,8.04,8.04,"7,259","7,259","7,259"
NY,2020-10-28,"2,311","2,262","2,360",4.21,3.00,5.41,"54,962","53,857","56,067"
PR,2020-10-28,451,447,455,5.31,4.72,5.90,"8,677","8,607","8,747"
RI,2020-10-28,181,181,181,9.11,9.11,9.11,"1,986","1,986","1,986"
AK,2020-10-29,89,89,89,6.17,6.17,6.17,"1,442","1,442","1,442"
AR,2020-10-29,715,715,715,8.52,8.40,8.63,"8,395","8,379","8,411"
CO,2020-10-29,764,763,765,7.60,7.51,7.69,"9,840","9,671","10,009"
FL,2020-10-29,"3,111","3,090","3,133",4.97,2.03,7.90,"63,651","59,548","67,754"
HI,2020-10-29,79,79,79,3.19,2.98,3.41,"2,474","2,447","2,501"
IA,2020-10-29,641,640,642,8.24,8.24,8.24,"7,878","7,878","7,878"
IL,2020-10-29,"3,199","3,124","3,274",10.66,9.81,11.52,"29,154","28,848","29,460"
KY,2020-10-29,"1,004","1,004","1,005",8.49,8.49,8.49,"11,837","11,837","11,837"
MA,2020-10-29,472,470,473,2.71,2.71,2.71,"17,391","17,391","17,391"
ME,2020-10-29,44,43,44,1.55,1.00,2.10,"2,805","2,796","2,814"
MN,2020-10-29,750,750,750,6.51,6.51,6.51,"11,529","11,529","11,529"
MS,2020-10-29,647,639,655,8.17,7.40,8.94,"7,917","7,890","7,944"
MT,2020-10-29,388,388,388,14.27,14.27,14.27,"2,600","2,600","2,600"
ND,2020-10-29,295,295,295,14.92,14.92,14.92,"1,977","1,977","1,977"
NJ,2020-10-29,"1,096","1,094","1,097",5.67,5.41,5.92,"19,337","19,241","19,433"
NV,2020-10-29,582,574,589,8.11,7.19,9.03,"7,340","7,279","7,401"
NY,2020-10-29,"2,208","2,204","2,213",4.06,3.90,4.22,"54,412","54,230","54,595"
PR,2020-10-29,474,467,481,5.58,5.58,5.58,"8,676","8,676","8,676"
RI,2020-10-29,174,174,174,8.72,8.72,8.72,"1,995","1,995","1,995"
AK,2020-10-30,94,94,94,6.55,6.55,6.55,"1,436","1,436","1,436"
AR,2020-10-30,735,731,739,8.82,8.47,9.17,"8,334","8,308","8,360"
CO,2020-10-30,804,799,810,8.02,7.56,8.49,"9,828","9,649","10,007"
FL,2020-10-30,"3,121","3,093","3,149",5.88,4.66,7.09,"54,126","52,884","55,367"
HI,2020-10-30,90,90,90,3.63,3.32,3.94,"2,477","2,446","2,508"
IA,2020-10-30,653,652,654,8.40,8.40,8.40,"7,872","7,872","7,872"
IL,2020-10-30,"3,268","3,195","3,341",10.96,10.62,11.30,"29,122","28,964","29,280"
KY,2020-10-30,"1,034","1,030","1,037",8.73,8.48,8.98,"11,838","11,803","11,873"
MA,2020-10-30,509,507,511,2.93,2.93,2.93,"17,373","17,373","17,373"
ME,2020-10-30,42,42,43,1.52,1.52,1.52,"2,802","2,802","2,802"
MN,2020-10-30,790,789,791,6.89,6.89,6.89,"11,471","11,471","11,471"
MS,2020-10-30,634,626,643,8.03,6.79,9.28,"7,899","7,761","8,037"
MT,2020-10-30,413,413,413,15.10,15.10,15.10,"2,616","2,616","2,616"
ND,2020-10-30,353,353,353,17.82,17.82,17.82,"1,981","1,981","1,981"
NJ,2020-10-30,"1,120","1,104","1,135",5.82,4.90,6.73,"19,244","18,995","19,494"
NV,2020-10-30,562,560,564,7.85,7.33,8.37,"7,323","7,259","7,387"
NY,2020-10-30,"2,183","2,174","2,192",4.01,3.76,4.27,"54,383","54,117","54,649"
PR,2020-10-30,495,486,504,5.83,5.83,5.83,"8,677","8,677","8,677"
RI,2020-10-30,180,180,180,9.48,9.48,9.48,"1,899","1,899","1,899"
AK,2020-10-31,98,98,98,6.83,5.81,7.85,"1,434","1,406","1,462"
AR,2020-10-31,690,667,713,8.39,4.62,12.15,"8,228","7,771","8,685"
CO,2020-10-31,810,786,835,8.05,5.32,10.79,"9,868","9,455","10,281"
FL,2020-10-31,"3,138","3,081","3,195",5.92,3.71,8.13,"54,032","51,831","56,233"
HI,2020-10-31,78,78,78,3.16,2.81,3.52,"2,467","2,433","2,501"
IA,2020-10-31,703,702,704,9.03,9.03,9.03,"7,878","7,878","7,878"
IL,2020-10-31,"3,321","3,229","3,413",11.16,9.40,12.91,"29,090","28,465","29,715"
KY,2020-10-31,"1,026","1,023","1,029",8.67,8.41,8.92,"11,836","11,796","11,876"
MA,2020-10-31,504,504,505,2.90,2.90,2.90,"17,386","17,386","17,386"
ME,2020-10-31,43,41,45,1.54,-1.23,4.31,"2,793","2,521","3,065"
MN,2020-10-31,809,804,814,7.13,6.71,7.55,"11,347","11,292","11,402"
MS,2020-10-31,623,618,628,7.96,7.21,8.71,"7,826","7,744","7,908"
MT,2020-10-31,405,373,437,14.68,6.03,23.32,"2,637","2,431","2,843"
ND,2020-10-31,318,300,336,16.52,16.52,16.52,"1,925","1,925","1,925"
NJ,2020-10-31,"1,156","1,154","1,158",6.01,5.87,6.16,"19,219","19,173","19,265"
NV,2020-10-31,593,536,650,8.42,0.26,16.57,"7,211","6,486","7,936"
NY,2020-10-31,"2,262","2,160","2,365",4.17,1.68,6.67,"54,200","51,967","56,433"
PR,2020-10-31,472,462,481,5.60,4.66,6.54,"8,606","8,604","8,608"
RI,2020-10-31,171,169,173,8.47,6.52,10.43,"2,018","1,953","2,083"
AK,2020-11-01,96,96,96,6.74,5.47,8.01,"1,425","1,390","1,460"
AR,2020-11-01,684,644,724,8.33,2.96,13.71,"8,207","7,610","8,804"
CO,2020-11-01,809,780,838,8.03,4.73,11.33,"9,875","9,386","10,364"
FL,2020-11-01,"3,175","3,108","3,242",6.00,3.40,8.60,"53,910","51,326","56,494"
HI,2020-11-01,79,54,104,3.22,-9.43,15.86,"2,456","2,089","2,823"
IA,2020-11-01,727,727,727,9.36,9.36,9.36,"7,861","7,823","7,899"
IL,2020-11-01,"3,402","3,299","3,505",11.43,9.12,13.74,"29,094","28,274","29,914"
KY,2020-11-01,"1,020","1,003","1,037",8.62,7.29,9.94,"11,836","11,658","12,014"
MA,2020-11-01,532,532,532,3.06,3.06,3.06,"17,362","17,362","17,362"
ME,2020-11-01,38,35,41,1.36,-1.93,4.64,"2,797","2,464","3,130"
MN,2020-11-01,871,858,884,7.72,6.83,8.62,"11,276","11,208","11,344"
MS,2020-11-01,613,579,647,7.88,3.17,12.58,"7,784","7,296","8,272"
MT,2020-11-01,403,385,421,14.77,8.95,20.60,"2,606","2,438","2,774"
ND,2020-11-01,333,311,355,16.68,11.29,22.06,"1,997","1,991","2,003"
NJ,2020-11-01,"1,140","1,074","1,206",6.04,1.31,10.76,"18,885","17,440","20,330"
NV,2020-11-01,594,525,663,8.43,-1.55,18.41,"7,212","6,321","8,103"
NY,2020-11-01,"2,220","2,093","2,347",4.10,0.92,7.28,"54,125","51,200","57,050"
PR,2020-11-01,454,445,463,5.48,4.47,6.49,"8,471","8,348","8,594"
RI,2020-11-01,179,170,188,9.75,4.36,15.14,"1,836","1,710","1,962"
MO,2020-10-02,"1,123","1,123","1,123",6.13,6.13,6.13,"18,123","18,024","18,222"
NC,2020-10-02,"1,260","1,254","1,266",5.96,5.96,5.96,"21,340","21,340","21,340"
NE,2020-10-02,301,297,305,5.63,1.47,9.79,"5,426","4,961","5,891"
NH,2020-10-02,36,36,36,1.24,1.14,1.35,"2,902","2,888","2,916"
NM,2020-10-02,152,149,155,4.72,3.65,5.79,"3,220","3,192","3,248"
OH,2020-10-02,"1,118","1,118","1,118",4.12,4.10,4.14,"27,204","27,193","27,215"
OK,2020-10-02,623,620,626,6.29,3.03,9.56,"10,129","9,486","10,772"
OR,2020-10-02,218,203,233,2.80,0.15,5.45,"7,749","7,449","8,049"
PA,2020-10-02,995,954,"1,036",3.42,2.20,4.63,"26,676","24,985","28,367"
SC,2020-10-02,639,639,639,7.04,7.04,7.04,"9,080","9,080","9,080"
SD,2020-10-02,214,209,219,9.69,7.76,11.63,"1,713","1,190","2,236"
TN,2020-10-02,991,988,994,6.00,6.00,6.00,"15,615","15,136","16,094"
TX,2020-10-02,"3,772","3,768","3,776",6.52,6.41,6.64,"57,984","57,828","58,140"
UT,2020-10-02,207,206,208,4.18,3.96,4.40,"4,949","4,918","4,980"
VA,2020-10-02,938,938,938,5.62,5.33,5.91,"16,403","16,266","16,540"
VT,2020-10-02,0,0,0,0.00,0.00,0.00,"1,177","1,177","1,177"
WA,2020-10-02,356,338,374,2.78,0.06,5.50,"9,220","8,501","9,939"
MO,2020-10-03,"1,088","1,086","1,091",5.95,5.85,6.06,"18,061","17,964","18,158"
NC,2020-10-03,"1,194","1,185","1,204",5.65,5.27,6.02,"21,270","21,225","21,315"
NE,2020-10-03,308,299,317,5.86,1.41,10.31,"5,337","4,877","5,796"
NH,2020-10-03,46,46,46,1.59,1.36,1.81,"2,902","2,878","2,926"
NM,2020-10-03,158,141,175,4.97,-0.15,10.09,"3,180","3,069","3,290"
OH,2020-10-03,"1,172","1,169","1,174",4.32,4.23,4.42,"27,160","27,131","27,188"
OK,2020-10-03,638,629,646,6.47,3.11,9.84,"10,089","9,450","10,728"
OR,2020-10-03,213,211,215,3.46,3.04,3.87,"6,158","6,084","6,231"
PA,2020-10-03,"1,000",967,"1,033",3.44,2.74,4.14,"26,502","24,858","28,146"
SC,2020-10-03,616,585,646,6.84,3.83,9.86,"8,992","8,717","9,267"
SD,2020-10-03,222,218,227,9.79,7.89,11.68,"1,701","1,179","2,224"
TN,2020-10-03,959,954,964,5.78,5.78,5.78,"15,600","15,128","16,072"
TX,2020-10-03,"3,807","3,800","3,814",6.66,6.52,6.79,"57,358","57,206","57,510"
UT,2020-10-03,215,214,216,4.36,4.05,4.67,"4,931","4,890","4,971"
VA,2020-10-03,896,857,935,5.40,3.05,7.75,"16,374","15,955","16,793"
VT,2020-10-03,1,1,1,0.08,0.08,0.08,"1,181","1,181","1,181"
WA,2020-10-03,374,348,399,2.98,-0.34,6.29,"9,193","8,555","9,831"
MO,2020-10-04,"1,075","1,075","1,075",5.90,5.90,5.90,"18,010","17,918","18,102"
NC,2020-10-04,"1,285","1,279","1,291",6.08,6.08,6.08,"21,244","21,244","21,244"
NE,2020-10-04,307,298,317,5.85,1.49,10.20,"5,334","4,888","5,780"
NH,2020-10-04,46,46,46,1.59,1.42,1.75,"2,902","2,888","2,916"
NM,2020-10-04,150,139,160,4.66,1.40,7.92,"3,209","3,122","3,297"
OH,2020-10-04,"1,124","1,120","1,127",4.15,3.96,4.34,"27,117","27,014","27,221"
OK,2020-10-04,654,642,666,6.63,3.21,10.04,"10,099","9,468","10,730"
OR,2020-10-04,230,229,232,3.75,3.37,4.14,"6,142","6,076","6,208"
PA,2020-10-04,985,938,"1,032",3.43,1.62,5.23,"26,385","24,675","28,096"
SC,2020-10-04,612,611,613,6.82,6.72,6.93,"8,970","8,958","8,982"
SD,2020-10-04,240,236,244,10.33,8.92,11.73,"1,695","1,172","2,217"
TN,2020-10-04,"1,016","1,015","1,017",6.19,6.19,6.19,"15,543","15,071","16,015"
TX,2020-10-04,"3,901","3,885","3,918",6.88,6.57,7.20,"56,816","56,569","57,064"
UT,2020-10-04,166,162,170,3.38,2.40,4.35,"4,918","4,876","4,959"
VA,2020-10-04,921,883,960,5.53,3.21,7.86,"16,379","15,965","16,793"
VT,2020-10-04,1,1,1,0.08,0.08,0.08,"1,181","1,181","1,181"
WA,2020-10-04,358,351,365,2.79,1.86,3.71,"9,190","8,589","9,791"
MO,2020-10-05,"1,149","1,142","1,156",6.34,5.93,6.75,"18,124","18,026","18,222"
NC,2020-10-05,"1,378","1,359","1,396",6.54,5.46,7.62,"21,198","20,855","21,540"
NE,2020-10-05,317,315,318,5.99,2.46,9.52,"5,365","4,985","5,745"
NH,2020-10-05,49,49,49,1.69,1.43,1.95,"2,902","2,888","2,916"
NM,2020-10-05,147,138,156,4.55,1.77,7.33,"3,225","3,148","3,302"
OH,2020-10-05,"1,238","1,235","1,240",4.60,4.46,4.74,"26,976","26,905","27,047"
OK,2020-10-05,687,683,691,6.95,3.75,10.14,"10,126","9,528","10,724"
OR,2020-10-05,227,225,229,3.73,3.35,4.11,"6,093","6,025","6,160"
PA,2020-10-05,"1,037",993,"1,080",3.56,2.11,5.01,"26,525","24,970","28,079"
SC,2020-10-05,630,629,630,7.01,7.01,7.01,"8,983","8,983","8,983"
SD,2020-10-05,246,242,249,10.64,9.41,11.86,"1,725","1,221","2,229"
TN,2020-10-05,"1,093","1,088","1,098",6.67,6.67,6.67,"15,606","15,134","16,078"
TX,2020-10-05,"3,982","3,968","3,995",7.13,6.91,7.35,"55,981","55,831","56,131"
UT,2020-10-05,205,205,205,4.19,4.06,4.31,"4,897","4,870","4,925"
VA,2020-10-05,960,959,961,5.78,5.78,5.78,"16,376","16,285","16,467"
VT,2020-10-05,7,7,7,0.59,0.59,0.59,"1,179","1,179","1,179"
WA,2020-10-05,364,358,369,2.86,1.88,3.84,"9,176","8,555","9,796"
MO,2020-10-06,"1,200","1,197","1,202",6.58,6.29,6.86,"18,236","18,145","18,327"
NC,2020-10-06,"1,402","1,396","1,408",6.64,6.40,6.89,"21,225","21,186","21,264"
NE,2020-10-06,326,323,328,6.04,3.19,8.89,"5,468","5,157","5,779"
NH,2020-10-06,44,44,44,1.52,1.52,1.52,"2,899","2,899","2,899"
NM,2020-10-06,168,153,182,4.99,0.68,9.30,"3,354","3,204","3,504"
OH,2020-10-06,"1,302","1,301","1,304",4.75,4.70,4.80,"27,468","27,454","27,482"
OK,2020-10-06,718,690,746,7.13,2.93,11.33,"10,307","9,618","10,996"
OR,2020-10-06,238,232,244,3.82,2.19,5.45,"6,232","6,024","6,439"
PA,2020-10-06,"1,096","1,058","1,135",3.75,2.60,4.89,"26,699","25,170","28,228"
SC,2020-10-06,689,689,689,7.61,7.53,7.70,"9,048","9,034","9,062"
SD,2020-10-06,258,258,258,11.13,11.13,11.13,"1,752","1,248","2,256"
TN,2020-10-06,"1,125","1,120","1,130",6.82,6.82,6.82,"15,671","15,216","16,126"
TX,2020-10-06,"4,272","4,272","4,272",7.42,7.42,7.42,"57,694","57,563","57,824"
UT,2020-10-06,231,229,233,4.67,4.15,5.19,"4,944","4,903","4,985"
VA,2020-10-06,"1,024","1,023","1,024",6.15,6.09,6.20,"16,404","16,317","16,490"
VT,2020-10-06,5,5,5,0.42,0.42,0.42,"1,181","1,181","1,181"
WA,2020-10-06,408,408,408,3.01,2.93,3.08,"9,178","8,625","9,732"
MO,2020-10-07,"1,302","1,300","1,304",7.12,6.85,7.40,"18,276","18,187","18,365"
NC,2020-10-07,"1,426","1,420","1,432",6.74,6.74,6.74,"21,293","21,293","21,293"
NE,2020-10-07,342,341,344,6.40,5.60,7.20,"5,432","5,350","5,515"
NH,2020-10-07,45,44,46,1.55,1.55,1.55,"2,897","2,897","2,897"
NM,2020-10-07,162,160,165,4.84,4.13,5.54,"3,354","3,337","3,371"
OH,2020-10-07,"1,394","1,390","1,397",5.02,4.91,5.14,"27,805","27,783","27,827"
OK,2020-10-07,714,704,724,7.08,4.22,9.94,"10,324","9,800","10,847"
OR,2020-10-07,230,229,230,3.68,3.29,4.06,"6,242","6,163","6,320"
PA,2020-10-07,"1,168","1,141","1,196",3.98,3.66,4.31,"26,808","25,345","28,271"
SC,2020-10-07,710,708,712,7.83,7.83,7.83,"9,067","9,067","9,067"
SD,2020-10-07,280,280,280,12.54,12.54,12.54,"1,714","1,246","2,182"
TN,2020-10-07,"1,137","1,137","1,137",6.90,6.88,6.91,"15,686","15,231","16,141"
TX,2020-10-07,"4,203","4,200","4,206",7.17,7.07,7.28,"58,748","58,614","58,882"
UT,2020-10-07,231,231,231,4.67,4.43,4.92,"4,942","4,913","4,971"
VA,2020-10-07,994,992,996,5.95,5.84,6.07,"16,414","16,329","16,499"
VT,2020-10-07,3,3,3,0.25,0.25,0.25,"1,181","1,181","1,181"
WA,2020-10-07,392,388,395,2.87,1.13,4.61,"11,134","10,575","11,692"
MO,2020-10-08,"1,294","1,284","1,303",7.07,6.60,7.54,"18,303","18,218","18,388"
NC,2020-10-08,"1,403","1,396","1,410",6.64,6.35,6.94,"21,237","21,186","21,288"
NE,2020-10-08,360,357,362,6.89,6.45,7.34,"5,296","5,264","5,327"
NH,2020-10-08,42,42,42,1.45,1.45,1.45,"2,900","2,900","2,900"
NM,2020-10-08,176,176,176,5.24,5.24,5.24,"3,357","3,357","3,357"
OH,2020-10-08,"1,400","1,395","1,405",5.09,4.93,5.25,"27,560","27,552","27,568"
OK,2020-10-08,764,756,773,7.58,5.17,10.00,"10,319","9,889","10,749"
OR,2020-10-08,226,225,228,3.60,3.06,4.14,"6,296","6,217","6,374"
PA,2020-10-08,"1,206","1,180","1,232",4.05,3.86,4.24,"26,874","25,453","28,295"
SC,2020-10-08,708,708,708,7.79,7.79,7.79,"9,088","9,088","9,088"
SD,2020-10-08,264,260,267,11.86,11.86,11.86,"1,750","1,282","2,218"
TN,2020-10-08,"1,172","1,172","1,172",7.09,7.09,7.09,"15,659","15,236","16,082"
TX,2020-10-08,"4,214","4,214","4,214",7.19,7.01,7.36,"58,800","58,598","59,002"
UT,2020-10-08,250,249,251,5.06,4.81,5.30,"4,944","4,921","4,967"
VA,2020-10-08,999,992,"1,006",6.01,5.66,6.35,"16,426","16,342","16,511"
VT,2020-10-08,1,1,1,0.09,0.09,0.09,"1,176","1,176","1,176"
WA,2020-10-08,384,384,384,2.78,1.15,4.41,"11,141","10,596","11,686"
MO,2020-10-09,"1,270","1,268","1,271",6.93,6.69,7.17,"18,327","18,245","18,409"
